Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0201,2,33pF C0G,C56903
"C11, C2",0201,2,"1.0uF, 10V, X5R",C76935
"C12, C14, C16, C17",0603,4,"10uF, 25V, X5R",C96446
"C13, C18, C4, C7, C8",0201,5,"0.1uF, 10V, X5R",C76934
"C15, C5, C9",0201,3,"2.2uF, 6.3V, X5R",C76933
D1,D_SOD-323,1,1N5819WS,C191023
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"L1, L2",0805,2,2.2uH MGFL2012F2R2MT-LF,C281115
"R1, R10, R4",0201,3,"10k, 1%",C106225
"R11, R5",0402,2,"5.1k, 1%",C25905
R2,0402,1,100 ohm,C106232
R3,0402,1,4.7M,C474132
"R6, R8",0201,2,"100k, 1%",C106224
R7,0201,1,"453k, 1%",C423509
R9,0201,1,"43.2k, 1%",C158519
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C528026
U1,WLCSP-71_9x8_4.062x3.762mm,1,baochip1x,
U3,Dabao_Vendor_Substrate,1,Baochip,
"U4, U6",SOT-23-5,2,MT3406,C22462728
U5,QFN-10_1.4x1.8_Pitch0.4mm,1,EMS4000RSW,C49186227
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,48.000MHz,C2892060
